asset_id,campaign_name,campaign_id,creative_name,platform,audience_segment,region,daily_budget_usd,fast_pacing,warm_color_palette,ctr,conversion_rate,impressions,clicks,conversions,revenue_usd,roas,cpa_usd,logo_screen_ratio,scene_transitions,time_to_first_product_s,cta_type,audio_style,video_duration_s,quarter,flight_start,flight_end
VEL-2026-Q4-0011,Back to Campus Athletics,vel_campus_athletics_2026,HIIT_Studio,TikTok,Gen-Z (18-24),US-East,13037.95,0,0,0.032847,0.009461,401440,13186,1200,56596.85,3.95,11.94,0.235,10,6.0,Limited Time,voiceover-only,26.0,Q2 2026,2026-02-02,2026-02-12
VEL-2026-Q1-0012,Summer Endurance Launch,vel_summer_endurance_2026,Yoga_Flow,TikTok,Millennials (25-34),EU-West,9323.05,1,1,0.054916,0.013142,263411,14465,1200,62146.73,6.83,7.59,0.219,8,2.8,Learn More,acoustic-indie,24.2,Q1 2026,2026-01-21,2026-02-08
VEL-2026-Q2-0013,Winter Training Push,vel_winter_training_2026,Sprint_Track,TikTok,Millennials (25-34),APAC,7849.16,0,1,0.032939,0.005266,427932,14095,1200,46125.97,5.37,7.15,0.174,15,3.3,Learn More,acoustic-indie,18.4,Q1 2026,2026-02-02,2026-02-26
VEL-2026-Q3-0014,Back to Campus Athletics,vel_campus_athletics_2026,Swim_Laps,Meta,Gen-X (35-44),APAC,2809.91,1,0,0.041709,0.013641,844781,35235,1200,49097.03,7.8,5.5,0.192,12,4.0,Limited Time,upbeat-electronic,21.5,Q4 2026,2026-02-07,2026-02-20
VEL-2026-Q4-0015,Trail Running Adventure,vel_trail_adventure_2026,CrossFit_Box,YouTube,Gen-Z (18-24),US-East,1415.08,1,0,0.089,0.027345,596386,53078,1200,44967.88,7.8,5.5,0.098,8,3.7,Shop Now,hip-hop,15.8,Q3 2026,2026-01-29,2026-02-24
VEL-2026-Q1-0016,Summer Endurance Launch,vel_summer_endurance_2026,Yoga_Flow,Meta,Gen-X (35-44),APAC,2205.91,1,1,0.040571,0.00953,395579,16049,1200,60613.57,7.8,5.5,0.144,16,4.4,Discover,acoustic-indie,18.7,Q3 2026,2026-02-24,2026-03-25
VEL-2026-Q2-0017,Back to Campus Athletics,vel_campus_athletics_2026,Swim_Laps,Meta,Gen-Z (18-24),EU-West,3796.68,1,0,0.078935,0.01274,76990,6077,980,31253.25,7.8,5.5,0.101,9,4.9,Learn More,acoustic-indie,18.2,Q4 2026,2026-02-25,2026-03-07
VEL-2026-Q3-0018,Back to Campus Athletics,vel_campus_athletics_2026,Runner_Sunrise,Meta,Millennials (25-34),US-West,5454.28,1,0,0.063006,0.02825,356065,22434,1200,38629.53,7.44,5.5,0.252,11,4.0,Shop Now,hip-hop,23.0,Q1 2026,2026-02-06,2026-02-19
VEL-2026-Q4-0019,Back to Campus Athletics,vel_campus_athletics_2026,Trail_Epic,TikTok,Millennials (25-34),US-West,6023.19,0,1,0.030086,0.008863,716898,21568,1200,43413.78,7.8,5.5,0.067,15,5.8,Limited Time,hip-hop,15.8,Q2 2026,2026-01-18,2026-02-03
VEL-2026-Q1-0020,Summer Endurance Launch,vel_summer_endurance_2026,Cycling_Mountain,Instagram,Millennials (25-34),US-West,5521.67,0,1,0.048674,0.01834,649860,31631,1200,38292.34,7.8,5.5,0.203,3,5.9,Discover,voiceover-only,8.4,Q1 2026,2026-02-21,2026-03-14
VEL-2026-Q2-0021,Trail Running Adventure,vel_trail_adventure_2026,Yoga_Flow,YouTube,Millennials (25-34),US-East,3966.3,0,0,0.042207,0.012058,786269,33185,1200,50196.25,7.8,5.5,0.102,15,3.8,Shop Now,acoustic-indie,24.9,Q1 2026,2026-01-18,2026-02-05
VEL-2026-Q3-0022,Back to Campus Athletics,vel_campus_athletics_2026,Morning_Stretch,Instagram,Gen-X (35-44),APAC,7891.0,1,0,0.058372,0.009512,294357,17182,1200,34841.64,3.84,7.56,0.154,7,1.6,Shop Now,ambient,22.4,Q2 2026,2026-01-19,2026-01-26
VEL-2026-Q4-0023,Summer Endurance Launch,vel_summer_endurance_2026,Basketball_Court,Meta,Gen-Z (18-24),EU-West,12466.65,1,1,0.064757,0.015728,149693,9693,1200,41526.7,3.93,8.81,0.112,6,5.3,Learn More,ambient,28.8,Q4 2026,2026-02-24,2026-03-22
VEL-2026-Q1-0024,Winter Training Push,vel_winter_training_2026,Yoga_Flow,Meta,Gen-Z (18-24),APAC,4555.7,0,1,0.031638,0.007784,200295,6337,1200,62884.01,7.8,5.5,0.118,6,6.3,Learn More,upbeat-electronic,16.3,Q3 2026,2026-02-27,2026-03-23
VEL-2026-Q2-0025,Summer Endurance Launch,vel_summer_endurance_2026,CrossFit_Box,Instagram,Gen-X (35-44),APAC,14164.61,1,0,0.051283,0.02059,810786,41579,1200,44732.12,2.71,13.74,0.102,14,5.3,Discover,acoustic-indie,7.9,Q4 2026,2026-02-06,2026-02-28
VEL-2026-Q3-0026,Summer Endurance Launch,vel_summer_endurance_2026,CrossFit_Box,Instagram,Gen-Z (18-24),APAC,13163.38,0,0,0.05911,0.020468,355515,21014,1200,56936.41,3.84,12.35,0.221,4,4.9,Shop Now,ambient,8.9,Q4 2026,2026-02-23,2026-03-06
VEL-2026-Q4-0027,Summer Endurance Launch,vel_summer_endurance_2026,Yoga_Flow,Instagram,Millennials (25-34),US-West,2845.58,0,0,0.043839,0.010198,93274,4089,951,27012.08,7.8,5.5,0.128,4,2.2,Limited Time,acoustic-indie,24.6,Q1 2026,2026-02-20,2026-03-17
VEL-2026-Q1-0028,Back to Campus Athletics,vel_campus_athletics_2026,Cycling_Mountain,Meta,Gen-Z (18-24),EU-West,11901.0,0,0,0.042774,0.018834,291278,12459,1200,38912.32,2.95,10.99,0.214,7,5.3,Limited Time,acoustic-indie,7.6,Q3 2026,2026-01-25,2026-02-04
VEL-2026-Q2-0029,Summer Endurance Launch,vel_summer_endurance_2026,Swim_Laps,Meta,Millennials (25-34),EU-West,8831.52,0,1,0.045675,0.011257,588889,26897,1200,59064.44,6.63,7.43,0.149,13,3.0,Discover,ambient,27.8,Q3 2026,2026-01-25,2026-02-06
VEL-2026-Q3-0030,Winter Training Push,vel_winter_training_2026,Runner_Sunrise,YouTube,Gen-X (35-44),APAC,8715.34,1,1,0.052064,0.023401,302834,15766,1200,57467.75,7.64,6.27,0.171,11,7.4,Shop Now,acoustic-indie,12.8,Q4 2026,2026-01-27,2026-02-19
VEL-2026-Q4-0031,Back to Campus Athletics,vel_campus_athletics_2026,Basketball_Court,YouTube,Gen-Z (18-24),US-West,6170.12,1,0,0.073628,0.033048,289053,21282,1200,43901.61,7.8,5.5,0.17,14,5.4,Learn More,hip-hop,27.6,Q2 2026,2026-01-28,2026-02-10
VEL-2026-Q1-0032,Winter Training Push,vel_winter_training_2026,Runner_Sunrise,Meta,Gen-X (35-44),US-West,7766.72,0,0,0.031087,0.006446,378383,11762,1200,64358.29,7.8,5.67,0.274,11,2.6,Shop Now,upbeat-electronic,24.6,Q4 2026,2026-01-22,2026-02-20
VEL-2026-Q2-0033,Holiday Gift Guide,vel_holiday_gift_2026,HIIT_Studio,Instagram,Gen-Z (18-24),EU-West,6259.09,0,1,0.050376,0.012283,367176,18496,1200,62783.15,7.8,5.5,0.128,8,4.0,Learn More,voiceover-only,26.9,Q2 2026,2026-02-08,2026-02-21
VEL-2026-Q3-0034,Summer Endurance Launch,vel_summer_endurance_2026,Cycling_Mountain,Instagram,Millennials (25-34),US-West,8326.12,1,1,0.085746,0.025365,561350,48133,1200,64642.83,6.62,8.13,0.09,15,6.8,Limited Time,ambient,11.1,Q3 2026,2026-02-01,2026-02-16
VEL-2026-Q4-0035,Back to Campus Athletics,vel_campus_athletics_2026,CrossFit_Box,YouTube,Gen-X (35-44),US-West,9605.28,1,0,0.048454,0.016922,362530,17566,1200,45404.93,4.22,8.96,0.259,2,3.0,Discover,voiceover-only,20.3,Q4 2026,2026-02-27,2026-03-18
VEL-2026-Q1-0036,Back to Campus Athletics,vel_campus_athletics_2026,HIIT_Studio,Meta,Gen-Z (18-24),US-West,10277.41,1,1,0.065096,0.020077,773597,50358,1200,37109.05,3.71,8.33,0.082,15,4.4,Discover,upbeat-electronic,8.2,Q1 2026,2026-02-27,2026-03-25
VEL-2026-Q2-0037,Summer Endurance Launch,vel_summer_endurance_2026,Runner_Sunrise,YouTube,Millennials (25-34),US-East,8220.98,0,1,0.05942,0.026194,715091,42491,1200,52559.71,6.41,6.83,0.24,4,5.6,Discover,hip-hop,10.9,Q4 2026,2026-02-01,2026-02-21
VEL-2026-Q3-0038,Trail Running Adventure,vel_trail_adventure_2026,Runner_Sunrise,YouTube,Gen-X (35-44),APAC,10960.62,1,0,0.053438,0.019622,161225,8615,1200,54651.83,5.5,8.28,0.076,13,6.2,Learn More,hip-hop,13.4,Q3 2026,2026-01-24,2026-02-15
VEL-2026-Q4-0039,Trail Running Adventure,vel_trail_adventure_2026,Basketball_Court,TikTok,Gen-X (35-44),EU-West,2548.53,0,0,0.012,0.002563,166553,1998,426,12253.15,4.44,6.47,0.198,2,1.8,Limited Time,hip-hop,23.8,Q1 2026,2026-01-21,2026-02-19
VEL-2026-Q1-0040,Winter Training Push,vel_winter_training_2026,Sprint_Track,TikTok,Gen-Z (18-24),EU-West,3573.75,1,0,0.080954,0.014696,124270,10060,1200,58313.39,7.8,5.5,0.076,11,4.7,Limited Time,hip-hop,6.6,Q1 2026,2026-03-05,2026-03-20
VEL-2026-Q2-0041,Summer Endurance Launch,vel_summer_endurance_2026,Runner_Sunrise,TikTok,Gen-Z (18-24),US-East,12371.66,0,1,0.037055,0.013211,743960,27567,1200,30650.17,2.77,9.23,0.262,4,7.3,Discover,ambient,27.7,Q2 2026,2026-02-27,2026-03-20
VEL-2026-Q3-0042,Summer Endurance Launch,vel_summer_endurance_2026,Swim_Laps,Instagram,Gen-Z (18-24),APAC,5176.66,1,1,0.086177,0.017023,634269,54659,1200,47378.22,7.8,5.5,0.176,6,7.8,Discover,ambient,7.7,Q1 2026,2026-01-28,2026-02-08
VEL-2026-Q4-0043,Holiday Gift Guide,vel_holiday_gift_2026,Swim_Laps,Meta,Millennials (25-34),EU-West,831.96,1,0,0.045084,0.017416,653758,29473,1200,41916.59,7.8,5.5,0.119,10,5.4,Learn More,acoustic-indie,15.0,Q1 2026,2026-01-29,2026-02-22
VEL-2026-Q1-0044,Trail Running Adventure,vel_trail_adventure_2026,Yoga_Flow,Meta,Gen-Z (18-24),US-West,2729.97,1,0,0.05846,0.014224,708565,41422,1200,56650.91,7.8,5.5,0.074,4,7.9,Learn More,acoustic-indie,7.9,Q4 2026,2026-01-30,2026-02-26
VEL-2026-Q2-0045,Trail Running Adventure,vel_trail_adventure_2026,Basketball_Court,Meta,Gen-X (35-44),EU-West,3742.41,0,0,0.017516,0.004345,113887,1994,494,16985.11,4.72,7.28,0.129,11,4.8,Shop Now,upbeat-electronic,24.5,Q3 2026,2026-01-16,2026-02-11
VEL-2026-Q3-0046,Summer Endurance Launch,vel_summer_endurance_2026,Basketball_Court,Meta,Gen-X (35-44),US-West,14381.18,1,0,0.037988,0.005821,368686,14005,1200,59765.06,3.93,12.67,0.209,15,3.8,Learn More,acoustic-indie,9.4,Q2 2026,2026-02-13,2026-02-27
VEL-2026-Q4-0047,Winter Training Push,vel_winter_training_2026,CrossFit_Box,TikTok,Gen-Z (18-24),US-East,8809.1,1,1,0.06702,0.024148,167012,11193,1200,51418.33,5.72,7.49,0.132,11,4.6,Shop Now,upbeat-electronic,27.2,Q4 2026,2026-02-13,2026-03-06
VEL-2026-Q1-0048,Summer Endurance Launch,vel_summer_endurance_2026,Runner_Sunrise,Instagram,Gen-Z (18-24),US-West,14024.6,0,1,0.054809,0.010084,757154,41499,1200,58580.16,4.64,10.52,0.099,10,1.4,Discover,upbeat-electronic,18.7,Q1 2026,2026-02-01,2026-02-28
VEL-2026-Q2-0049,Winter Training Push,vel_winter_training_2026,Sprint_Track,Instagram,Gen-X (35-44),EU-West,8839.87,0,0,0.038198,0.014586,311629,11903,1200,65616.26,7.74,7.07,0.179,17,3.5,Limited Time,upbeat-electronic,28.8,Q1 2026,2026-02-14,2026-03-01
VEL-2026-Q3-0050,Trail Running Adventure,vel_trail_adventure_2026,Morning_Stretch,TikTok,Millennials (25-34),EU-West,7450.64,0,0,0.024461,0.007279,638587,15620,1200,54449.7,7.52,6.03,0.14,2,3.9,Learn More,hip-hop,13.0,Q2 2026,2026-02-27,2026-03-24
VEL-2026-Q4-0051,Holiday Gift Guide,vel_holiday_gift_2026,HIIT_Studio,Instagram,Gen-Z (18-24),EU-West,5049.05,0,0,0.044482,0.017138,542537,24133,1200,65458.21,7.8,5.5,0.08,7,6.9,Limited Time,voiceover-only,16.9,Q3 2026,2026-03-03,2026-03-31
VEL-2026-Q1-0052,Back to Campus Athletics,vel_campus_athletics_2026,Basketball_Court,TikTok,Gen-Z (18-24),US-East,9292.38,0,1,0.056815,0.018475,419283,23821,1200,31038.11,2.82,9.17,0.077,10,6.2,Learn More,voiceover-only,22.7,Q2 2026,2026-01-27,2026-02-08
VEL-2026-Q2-0053,Trail Running Adventure,vel_trail_adventure_2026,Yoga_Flow,Meta,Gen-X (35-44),US-East,2518.37,0,0,0.040963,0.007157,832039,34082,1200,42173.04,7.8,5.5,0.21,13,5.0,Learn More,ambient,26.0,Q4 2026,2026-02-03,2026-02-13
VEL-2026-Q3-0054,Winter Training Push,vel_winter_training_2026,Yoga_Flow,TikTok,Gen-Z (18-24),APAC,13524.79,0,0,0.043449,0.016497,265491,11535,1200,33882.72,2.3,12.26,0.274,6,3.1,Shop Now,upbeat-electronic,16.1,Q2 2026,2026-03-04,2026-03-21
VEL-2026-Q4-0055,Summer Endurance Launch,vel_summer_endurance_2026,Runner_Sunrise,Meta,Millennials (25-34),EU-West,12525.32,1,0,0.061975,0.010594,610885,37859,1200,39442.98,3.05,10.79,0.096,12,1.9,Learn More,hip-hop,27.4,Q1 2026,2026-03-05,2026-03-21
VEL-2026-Q1-0056,Trail Running Adventure,vel_trail_adventure_2026,Runner_Sunrise,Meta,Gen-X (35-44),US-West,5104.21,0,1,0.053167,0.01561,282808,15036,1200,60199.96,7.8,5.5,0.226,15,3.1,Discover,acoustic-indie,8.8,Q4 2026,2026-02-18,2026-02-27
VEL-2026-Q2-0057,Holiday Gift Guide,vel_holiday_gift_2026,Morning_Stretch,YouTube,Gen-Z (18-24),US-East,14315.56,0,0,0.059479,0.011997,792842,47157,1200,31163.64,1.85,14.03,0.061,11,5.6,Limited Time,acoustic-indie,23.0,Q1 2026,2026-02-06,2026-02-13
VEL-2026-Q3-0058,Winter Training Push,vel_winter_training_2026,Trail_Epic,TikTok,Gen-X (35-44),EU-West,12465.41,1,1,0.054816,0.020594,826619,45311,1200,48726.59,4.34,9.35,0.132,3,2.5,Learn More,ambient,14.4,Q3 2026,2026-02-25,2026-03-15
VEL-2026-Q4-0059,Summer Endurance Launch,vel_summer_endurance_2026,Trail_Epic,YouTube,Gen-Z (18-24),EU-West,10161.45,1,0,0.068838,0.029151,783271,53918,1200,50416.63,4.89,8.59,0.162,6,3.7,Limited Time,ambient,8.4,Q1 2026,2026-02-16,2026-03-17
VEL-2026-Q1-0060,Back to Campus Athletics,vel_campus_athletics_2026,Runner_Sunrise,TikTok,Gen-Z (18-24),US-East,2265.55,0,1,0.035401,0.011195,815417,28866,1200,50201.44,7.8,5.5,0.104,2,3.4,Limited Time,upbeat-electronic,15.3,Q1 2026,2026-02-21,2026-03-14
VEL-2026-Q2-0061,Winter Training Push,vel_winter_training_2026,Cycling_Mountain,TikTok,Gen-Z (18-24),APAC,7434.39,0,1,0.04473,0.013783,723412,32358,1200,47110.69,5.91,6.64,0.167,10,6.2,Limited Time,upbeat-electronic,27.1,Q2 2026,2026-02-18,2026-03-11
VEL-2026-Q3-0062,Summer Endurance Launch,vel_summer_endurance_2026,Swim_Laps,YouTube,Millennials (25-34),US-East,7838.56,0,1,0.050586,0.019182,175635,8884,1200,58461.71,7.8,5.88,0.252,11,7.1,Learn More,acoustic-indie,29.5,Q1 2026,2026-02-19,2026-03-18
VEL-2026-Q4-0063,Back to Campus Athletics,vel_campus_athletics_2026,Swim_Laps,YouTube,Millennials (25-34),US-East,3871.99,0,0,0.042533,0.006445,727682,30950,1200,34807.55,7.8,5.5,0.267,14,5.7,Shop Now,acoustic-indie,15.4,Q4 2026,2026-02-03,2026-02-23
VEL-2026-Q1-0064,Summer Endurance Launch,vel_summer_endurance_2026,Morning_Stretch,TikTok,Gen-X (35-44),US-West,1659.5,1,0,0.035162,0.014955,741605,26076,1200,41180.77,7.8,5.5,0.064,11,3.1,Limited Time,acoustic-indie,27.3,Q4 2026,2026-01-17,2026-01-30
VEL-2026-Q2-0065,Back to Campus Athletics,vel_campus_athletics_2026,Morning_Stretch,Instagram,Gen-Z (18-24),US-West,11762.49,1,0,0.06518,0.013638,305752,19928,1200,52166.14,4.48,9.7,0.105,10,3.7,Limited Time,acoustic-indie,18.2,Q3 2026,2026-01-22,2026-02-14
VEL-2026-Q3-0066,Back to Campus Athletics,vel_campus_athletics_2026,CrossFit_Box,Meta,Gen-Z (18-24),APAC,2269.51,1,0,0.058972,0.026256,737585,43496,1200,54874.25,7.8,5.5,0.275,7,1.6,Learn More,voiceover-only,23.2,Q4 2026,2026-02-23,2026-03-20
VEL-2026-Q4-0067,Back to Campus Athletics,vel_campus_athletics_2026,Sprint_Track,YouTube,Millennials (25-34),EU-West,9117.22,1,0,0.073931,0.027419,492210,36389,1200,44549.34,5.18,7.17,0.105,12,1.8,Learn More,upbeat-electronic,7.1,Q2 2026,2026-02-15,2026-02-28
VEL-2026-Q1-0068,Summer Endurance Launch,vel_summer_endurance_2026,Yoga_Flow,Meta,Gen-Z (18-24),US-East,14078.51,1,0,0.081248,0.031059,277773,22568,1200,61513.37,3.72,13.79,0.206,10,1.7,Discover,upbeat-electronic,19.4,Q3 2026,2026-02-12,2026-02-21
VEL-2026-Q2-0069,Back to Campus Athletics,vel_campus_athletics_2026,Swim_Laps,Instagram,Millennials (25-34),APAC,13203.53,1,1,0.079136,0.027449,304365,24086,1200,44957.76,3.36,11.15,0.101,15,1.5,Discover,acoustic-indie,7.7,Q4 2026,2026-01-21,2026-01-30
VEL-2026-Q3-0070,Winter Training Push,vel_winter_training_2026,Cycling_Mountain,Instagram,Gen-Z (18-24),US-West,4527.41,1,1,0.086693,0.025271,832400,72163,1200,44499.94,7.8,5.5,0.126,4,1.8,Shop Now,hip-hop,12.4,Q2 2026,2026-01-16,2026-02-09
VEL-2026-Q4-0071,Holiday Gift Guide,vel_holiday_gift_2026,Runner_Sunrise,Instagram,Gen-X (35-44),US-East,12846.01,0,1,0.034725,0.011164,414821,14404,1200,31303.46,3.0,8.7,0.086,16,2.0,Shop Now,acoustic-indie,19.6,Q4 2026,2026-02-04,2026-03-02
VEL-2026-Q1-0072,Holiday Gift Guide,vel_holiday_gift_2026,Basketball_Court,YouTube,Gen-Z (18-24),EU-West,504.82,1,0,0.081022,0.013281,238678,19338,1200,49841.09,7.8,5.5,0.246,5,1.3,Shop Now,ambient,25.4,Q4 2026,2026-01-20,2026-02-17
VEL-2026-Q2-0073,Back to Campus Athletics,vel_campus_athletics_2026,Cycling_Mountain,Instagram,Gen-Z (18-24),US-West,756.47,0,0,0.047565,0.016038,446153,21221,1200,55512.51,7.8,5.5,0.252,14,5.3,Shop Now,hip-hop,19.5,Q1 2026,2026-02-11,2026-03-03
VEL-2026-Q3-0074,Holiday Gift Guide,vel_holiday_gift_2026,CrossFit_Box,YouTube,Millennials (25-34),US-West,9237.02,1,1,0.079558,0.026877,480651,38239,1200,34119.77,3.82,7.45,0.111,7,7.9,Limited Time,ambient,28.5,Q4 2026,2026-03-03,2026-03-12
VEL-2026-Q4-0075,Holiday Gift Guide,vel_holiday_gift_2026,Cycling_Mountain,Instagram,Gen-Z (18-24),US-West,5789.57,0,0,0.045886,0.019151,205580,9433,1200,40995.58,7.06,5.5,0.238,5,7.1,Learn More,hip-hop,25.4,Q4 2026,2026-02-25,2026-03-10
VEL-2026-Q1-0076,Back to Campus Athletics,vel_campus_athletics_2026,Basketball_Court,Meta,Gen-Z (18-24),APAC,6103.68,0,1,0.05811,0.017532,811064,47131,1200,58125.25,7.8,5.5,0.126,2,0.8,Discover,ambient,9.7,Q2 2026,2026-02-19,2026-03-04
VEL-2026-Q2-0077,Back to Campus Athletics,vel_campus_athletics_2026,HIIT_Studio,Meta,Millennials (25-34),EU-West,8684.4,0,0,0.03658,0.006334,544911,19932,1200,43173.1,4.39,8.2,0.064,8,3.7,Limited Time,acoustic-indie,15.3,Q2 2026,2026-02-15,2026-02-26
VEL-2026-Q3-0078,Winter Training Push,vel_winter_training_2026,Trail_Epic,TikTok,Gen-X (35-44),US-East,3280.85,1,0,0.043639,0.010555,197903,8636,1200,38697.69,7.8,5.5,0.222,6,6.9,Learn More,acoustic-indie,22.0,Q1 2026,2026-02-28,2026-03-09
VEL-2026-Q4-0079,Trail Running Adventure,vel_trail_adventure_2026,HIIT_Studio,Meta,Gen-X (35-44),APAC,3570.45,0,0,0.014777,0.005123,461149,6814,1200,54199.22,7.8,5.5,0.183,15,1.5,Learn More,hip-hop,28.5,Q4 2026,2026-02-25,2026-03-21
VEL-2026-Q1-0080,Summer Endurance Launch,vel_summer_endurance_2026,Yoga_Flow,TikTok,Millennials (25-34),APAC,7526.72,0,0,0.03515,0.007796,465523,16363,1200,37083.32,4.68,6.61,0.106,16,6.9,Limited Time,ambient,29.7,Q1 2026,2026-03-01,2026-03-22
VEL-2026-Q2-0081,Back to Campus Athletics,vel_campus_athletics_2026,Yoga_Flow,Meta,Millennials (25-34),APAC,11436.68,0,1,0.051719,0.01211,728700,37687,1200,62243.51,4.83,10.74,0.101,9,4.9,Limited Time,voiceover-only,24.3,Q4 2026,2026-01-23,2026-02-18
VEL-2026-Q3-0082,Back to Campus Athletics,vel_campus_athletics_2026,Swim_Laps,YouTube,Millennials (25-34),US-West,9482.72,0,1,0.061709,0.024445,127951,7895,1200,33801.54,3.37,8.35,0.274,10,7.5,Discover,hip-hop,19.8,Q3 2026,2026-01-25,2026-02-14
VEL-2026-Q4-0083,Holiday Gift Guide,vel_holiday_gift_2026,Basketball_Court,Meta,Millennials (25-34),EU-West,4811.65,1,0,0.038397,0.01249,330745,12699,1200,55435.79,7.8,5.5,0.247,6,7.1,Shop Now,hip-hop,24.2,Q3 2026,2026-02-06,2026-02-16
VEL-2026-Q1-0084,Winter Training Push,vel_winter_training_2026,Yoga_Flow,TikTok,Millennials (25-34),APAC,6739.89,0,0,0.032301,0.009773,756316,24429,1200,47983.75,6.7,5.97,0.234,9,5.6,Shop Now,upbeat-electronic,12.6,Q1 2026,2026-03-05,2026-03-19
VEL-2026-Q2-0085,Holiday Gift Guide,vel_holiday_gift_2026,Morning_Stretch,TikTok,Gen-X (35-44),US-East,2974.64,1,0,0.056252,0.013812,97178,5466,1200,61317.46,7.8,5.5,0.071,14,5.4,Discover,hip-hop,12.8,Q1 2026,2026-01-25,2026-02-21
VEL-2026-Q3-0086,Back to Campus Athletics,vel_campus_athletics_2026,Swim_Laps,Instagram,Gen-X (35-44),EU-West,1582.13,0,0,0.039006,0.014404,241383,9415,1200,34543.02,7.8,5.5,0.221,2,2.1,Discover,voiceover-only,21.7,Q1 2026,2026-03-04,2026-03-23
VEL-2026-Q4-0087,Back to Campus Athletics,vel_campus_athletics_2026,CrossFit_Box,YouTube,Millennials (25-34),US-East,11849.09,1,0,0.074159,0.017525,184826,13706,1200,54404.22,5.12,8.85,0.091,2,1.4,Shop Now,acoustic-indie,26.9,Q2 2026,2026-01-16,2026-02-13
VEL-2026-Q1-0088,Holiday Gift Guide,vel_holiday_gift_2026,Swim_Laps,Meta,Gen-Z (18-24),EU-West,4348.12,0,1,0.057532,0.021351,94893,5459,1200,50593.97,7.8,5.5,0.275,8,3.6,Limited Time,ambient,29.3,Q2 2026,2026-01-17,2026-01-31
